cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
fd0d63f7a500,CABLES2,DNMT3A;P4HB,2,4.878,0.1257,exp04_lung_reads-coregtor-default,0.5,0.5,0.5,0.46897,1.45157,3.8959,0.27591,1.18933,0.20568,,,,
6baa04941248,CACFD1,ZBTB42;IRX5;ESRP2;FOXA2;IRX2;IRX3,6,85.7143,0.3494,exp04_lung_reads-coregtor-default,0.33889,0.55556,0.36667,0.06631,8.30102,0.28831,0.56304,1.74439,0.49744,,,,
26dfad3d6c85,CACHD1,GRHL2;EHF;IRX3;TFAP2C;FOXA1;FOXP2;NR3C2;DMRTA1;FOXA2;POU2F3;SALL2,11,52.381,0.158,exp04_lung_reads-coregtor-default,0.41061,0.48182,0.41364,0.97263,7.0873,1.31908,0.67847,2.07739,0.60968,,,,
ec7a51c028f0,CACNA1C,HOXB3;FEZ1;ESRP1;SETBP1;PGR;NR2F1;TBX2;POU2F3;AHDC1;MSRB3;EBF4;FOXL1;MEOX2;EHF;BNC2,15,78.9474,0.3252,exp04_lung_reads-coregtor-default,0.41587,0.40397,0.43016,1.11787,1.17927,1.29206,0.48875,1.32965,0.46695,,,,
b8dc2ea64296,CACNA1D,RAN;SOX6;ZNF704;ETV1;TPPP;PUM3;NME1;ZNF345;NCALD,9,50.0,0.2731,exp04_lung_reads-coregtor-default,0.45833,0.39815,0.43519,2.1727,4.21301,3.92789,0.37278,1.02641,0.35071,,,,
1c5e387ce528,CACNA1D,NXPH3;ADARB1,2,11.1111,0.1215,exp04_lung_reads-coregtor-default,0.33333,0.33333,0.5,0.0,0.0,2.59168,0.08889,0.29896,0.13711,,,,
66604b0f1b94,CACNA1H,MECP2;SOX13;ADARB1;TBX2;RAN;NMI,6,54.5455,0.3185,exp04_lung_reads-coregtor-default,0.46667,0.41111,0.54444,7.07411,2.8703,15.69226,0.37296,1.2455,0.31823,,,,
7342766e9e96,CACNA1H,TBX5;GTF3A,2,18.1818,0.1667,exp04_lung_reads-coregtor-default,0.33333,0.33333,0.5,0.0,0.0,0.97835,0.20005,0.47204,0.24389,,,,
e1b2f3b5cef8,CACNA2D1,SMAD5;ZBTB10;MBNL2;JAZF1;TBL1XR1;PGR;NF1;ZNF654,8,72.7273,0.2439,exp04_lung_reads-coregtor-default,0.44048,0.45833,0.44643,1.91924,3.97884,2.11327,0.46143,1.23798,0.42596,,,,
11140a54976d,CACNA2D2,TFCP2L1;FOXA2;NKX2-1;HNF1B;ESRP1;ESRP2;CEBPA;ZBTB42,8,100.0,0.0,exp04_lung_reads-coregtor-default,0.46429,0.52976,0.46429,2.44102,14.78003,5.329,0.51682,1.50067,0.45739,,,,
439576870106,CACNB1,TFCP2L1;MLXIPL;ZBTB42;IVD;NAGS;ESRP2;HNF1B,7,77.7778,0.5128,exp04_lung_reads-coregtor-default,0.37302,0.40476,0.38095,0.19309,1.22643,0.39132,0.3221,0.93491,0.32,,,,
6e198aabeef5,CACNB2,EBF1;NFATC4;PRKAA2;NFIA;TRIM21;HOXB2;BNC2;TRPS1;ZNF141,9,28.125,0.1405,exp04_lung_reads-coregtor-default,0.44444,0.46759,0.47222,3.41504,1.81189,3.84122,0.53128,1.43815,0.4986,,,,
9ddc5aa59264,CACNB2,ZNF319;HOXB3,2,6.25,0.1087,exp04_lung_reads-coregtor-default,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.49081,1.15982,0.51451,,,,
59b4f43638ac,CACNB2,AHCTF1;IRX2,2,6.25,0.0756,exp04_lung_reads-coregtor-default,0.5,0.33333,0.5,1.40865,0.0,1.24759,0.28036,0.72643,0.31666,,,,
d42413be8205,CACNB3,TBX19;ZBTB42;EBF4;TFCP2L1;HOXB2;ZKSCAN1;IRX6;SPATS2;HES7;PGR,10,55.5556,0.3174,exp04_lung_reads-coregtor-default,0.4,0.35926,0.3963,0.62653,0.45431,0.66002,0.65741,1.66368,0.629,,,,
d7425c7fc5f3,CACNB3,NFX1;ZNF622,2,11.1111,0.1291,exp04_lung_reads-coregtor-default,0.5,0.5,0.5,11.39456,47.581,15.39643,0.47445,0.93588,0.5027,,,,
04353bb2efd2,CACNG4,IRF6;MYRF,2,50.0,0.4713,exp04_lung_reads-coregtor-default,0.25,0.33333,0.33333,0.0,0.0,0.0,0.60138,1.66665,0.5803,,,,
c3b9a4bae888,CACTIN,ZNF142;ZNF696;E4F1;VPS72;TIMM44;ZNF576;CXXC1;ZNF213;ZNF202;ZBTB49;ZNF384,11,78.5714,0.2551,exp04_lung_reads-coregtor-default,0.43939,0.39242,0.43939,2.64014,1.29354,1.87955,0.62607,1.4847,0.59714,,,,
ed28e17ceb4c,CACUL1,ZNF791;ZNF451;ZBTB10;ZNF141;PHF12;ZNF516;STAT4;MTF2,8,80.0,0.3491,exp04_lung_reads-coregtor-default,0.42262,0.3869,0.44643,4.92165,0.80314,5.88059,0.58353,1.5455,0.53554,,,,
