"Regulator","Target"
"ELF4","NOTCH1"
"ELF4","HLA-E"
"ELF4","SUMO1"
"ELF4","CD44"
"ELF4","TKT"
"ELF4","AKT1"
"ELF4","RHOA"
"ELF4","TGFB1"
"ELF4","SQSTM1"
"ELF4","VIM"
"CIC","NOTCH1"
"CIC","PDLIM7"
"CIC","AKT1"
"CIC","RHOA"
"CIC","TGFB1"
"CIC","PRKACA"
"HBP1","NOTCH1"
"HBP1","PTEN"
"HBP1","HBA2"
"NCOA1","NOTCH1"
"NCOA1","AKT1"
"NCOA1","HBB"
"MNT","NOTCH1"
"MNT","HLA-E"
"MNT","PDLIM7"
"MNT","TKT"
"MNT","ACTB"
"MNT","SOCS3"
"MNT","CCND3"
"MNT","PRKACA"
"MNT","HBB"
"KDM2A","NOTCH1"
"KDM2A","SOCS3"
"KDM2A","AKT1"
"KDM2A","RHOA"
"KDM2A","CDKN1B"
"KDM2A","TGFB1"
"KDM2A","SQSTM1"
"KDM2A","OGA"
"SP100","NOTCH1"
"SP100","SUMO1"
"SP100","CD44"
"SP100","VIM"
"SP100","HBB"
"RCOR1","NOTCH1"
"RCOR1","AKT1"
"RCOR1","OGA"
"NCOA3","NOTCH1"
"NCOA3","AKT1"
"NCOA3","CDKN1B"
"NCOA3","TGFB1"
"NCOA3","OGA"
"ZXDC","NOTCH1"
"ZXDC","HLA-E"
"ZXDC","SUMO1"
"ZXDC","PDLIM7"
"ZXDC","TKT"
"ZXDC","CCND3"
"ZXDC","PRKACA"
"ZXDC","HBB"
"ZXDC","HBA2"
"MEF2D","NOTCH1"
"MEF2D","AKT1"
"MEF2D","TGFB1"
"MEF2D","SQSTM1"
"SP1","NOTCH1"
"SP1","HLA-E"
"SP1","SUMO1"
"SP1","CD44"
"SP1","CD14"
"SP1","PDLIM7"
"SP1","TKT"
"SP1","SOD2"
"SP1","PTEN"
"SP1","CCND3"
"SP1","PRKACA"
"SP1","PSEN1"
"SP1","VIM"
"SP1","HBB"
"SP1","HBA2"
"SKI","NOTCH1"
"SKI","HLA-E"
"SKI","MAT2A"
"IRF2","NOTCH1"
"IRF2","SUMO1"
"IRF2","CD44"
"IRF2","CD14"
"IRF2","SOD2"
"IRF2","ACTB"
"IRF2","SOCS3"
"IRF2","TGFBR2"
"IRF2","PTEN"
"IRF2","CCND3"
"IRF2","PSEN1"
"IRF2","HBB"
"IRF2","HBA2"
"KLF6","NOTCH1"
"KLF6","SOCS3"
"KLF6","DUSP1"
"KLF6","CDKN1B"
"KLF6","OGA"
"EP300","NOTCH1"
"EP300","MCL1"
"EP300","AKT1"
"EP300","PTEN"
"EP300","CDKN1B"
"EP300","RBL2"
"EP300","VIM"
"EP300","HBB"
"EP300","HBA2"
"ELF1","NOTCH1"
"ELF1","SUMO1"
"ELF1","SOCS3"
"ELF1","MCL1"
"ELF1","AKT1"
"ELF1","PTEN"
"ELF1","CDKN1B"
"ELF1","MAT2A"
"ELF1","RBL2"
"ELF1","OGA"
"ELF1","HBB"
"ELF1","HBA2"
