"Regulator","Target"
"LMO2","ID3"
"STAT3","SOD2"
"STAT3","ACTB"
"STAT3","SPARC"
"STAT3","MCL1"
"STAT3","BMI1"
"STAT3","HLA-E"
"STAT3","NFKBIA"
"STAT3","MAT2A"
"CEBPB","SOD2"
"CEBPB","ACTB"
"CEBPB","MCL1"
"CEBPB","NFKBIA"
"CEBPB","HSP90AA1"
"CEBPB","PER1"
"ETV5","PIK3R1"
"ETV5","APP"
"ETV5","STMN1"
"ETV5","CARM1"
"ETV5","FASN"
"SREBF1","APOE"
"HES1","APOE"
"HES1","DUSP1"
"OLIG1","SPARC"
"OLIG1","NDRG1"
"ID1","SPARC"
"ID1","HLA-E"
"ID1","NFKBIA"
"ID1","ID3"
"SOX10","SPARC"
"SOX10","NDRG1"
"SOX10","CRYAB"
"ZEB2","SPARC"
"ZEB2","BMI1"
"ZEB2","NDRG1"
"ZEB2","MAT2A"
"FOXO4","NDRG1"
"FEZF2","STMN1"
"FEZF2","FASN"
